SubsID,error.immigrants.trim,error.asylum.seekers.trim,error.trim,error.immigrants,error.asylum.seekers,error,consp_01,confidence,trust.stat,news.paper,news.social,news.tv,concern.imm,edu.tertiary,lr,age,female,abit,income,dummy.imm.as,country,QG8c_1_T4,QG8d_1_T4,QG16_1_T4,QG16_2_T4,QG16_3_T4,QG16_4_T4,country_cod,int_wt1_cap_T4
EPOK45WLD74MYWD4B6,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.725902798845313,0,1,0.125,0.625,0.375,1,1,0.4,30,0,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,1,3,3,1,1,8,0.650231689
EPOKW5RLPBCGDVN4C5,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.918538511697978,0,1,0.375,1,0.125,1,1,0.3,31,0,3. Rural zone,0.272727272727273,0,Portugal,NA,1,1,1,1,2,8,0.986479933
EPOK7XZHLZQ4K4X4B1,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.79748441976404,0,0,1,1,1,1,1,0.2,57,0,2. Other town/urban centre,0.272727272727273,0,Portugal,NA,1,2,2,1,2,8,0.34039475
EPOK46XDCPT6ZDP4B1,27.2585731235731,NA,27.2585731235731,27.2585731235731,NA,27.2585731235731,0.918538511697978,1,0,0.125,1,1,0,0,0.1,43,0,1. Metropolitan zone,0.181818181818182,1,Portugal,30,NA,1,1,1,2,8,4.559095221
EPOK47MF6VHWFPY4B0,NA,9.99170319485018,9.99170319485018,NA,9.99170319485018,9.99170319485018,0.86007965782293,1,1,0.125,0.125,0.5,1,1,0.3,33,1,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,10,2,1,1,2,8,0.629376645
EPOKCY8PZP73H5B4B6,NA,1.99170319485018,1.99170319485018,NA,1.99170319485018,1.99170319485018,0.663010765861004,0,1,0.875,1,0.875,1,1,0.8,31,1,1. Metropolitan zone,0.272727272727273,0,Portugal,NA,2,2,2,2,2,8,0.938083451
EPOK84B624LWGKK4B8,2.25857312357308,NA,2.25857312357308,2.25857312357308,NA,2.25857312357308,0.689553094873782,1,1,0.25,1,1,0,1,0.3,58,0,2. Other town/urban centre,0.090909090909091,1,Portugal,5,NA,3,2,1,3,8,0.391622793
EPOK3HF3CSYJNZS4B9,17.2585731235731,NA,17.2585731235731,17.2585731235731,NA,17.2585731235731,0.79748441976404,1,1,0,0.75,0.5,1,1,0.2,38,1,1. Metropolitan zone,0.181818181818182,1,Portugal,20,NA,2,2,1,2,8,0.582668984
EPOK452HWJ8W4F34B7,NA,4.99170319485018,4.99170319485018,NA,4.99170319485018,4.99170319485018,0.725606003919894,0,0,0,0.125,0,1,1,0.5,24,1,2. Other town/urban centre,0.181818181818182,0,Portugal,NA,5,2,1,2,2,8,0.582668984
EPOKD3Q4Y98PFYG4B4,2.25857312357308,NA,2.25857312357308,2.25857312357308,NA,2.25857312357308,0.411619404207873,0,1,0.5,0.5,1,1,1,0.5,26,1,2. Other town/urban centre,0.727272727272727,1,Portugal,5,NA,4,2,3,2,8,0.582668984
EPOK4BH9T4CFJCL4B9,NA,1.99170319485018,1.99170319485018,NA,1.99170319485018,1.99170319485018,0.721469619736051,1,1,0.75,1,1,1,1,0.2,42,1,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,2,1,2,2,2,8,0.549214811
EPOKW5TGDF9GBCV4C5,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.846956890779251,0,1,0.875,0.625,0.5,1,0,0,41,0,1. Metropolitan zone,0.272727272727273,1,Portugal,10,NA,2,2,1,1,8,0.890215643
EPOK49KGH6VXPFM4B9,12.2585731235731,NA,12.2585731235731,12.2585731235731,NA,12.2585731235731,0.721469619736051,1,1,0.125,0.5,0.75,1,0,0.3,40,1,1. Metropolitan zone,NA,1,Portugal,15,NA,1,2,2,2,8,0.794796927
EPOKVSYTGMWH8JW4C1,0.25857312357308,NA,0.25857312357308,0.25857312357308,NA,0.25857312357308,0.968010982713188,1,1,0.375,0.125,0.125,1,1,0.9,31,0,2. Other town/urban centre,0.363636363636364,1,Portugal,3,NA,1,1,1,1,8,0.600613555
EPOK4BNVW5TDMGG4B5,27.2585731235731,NA,27.2585731235731,27.2585731235731,NA,27.2585731235731,0.734889181705149,1,1,0.875,1,1,1,1,0.2,34,0,2. Other town/urban centre,0.181818181818182,1,Portugal,30,NA,2,3,1,2,8,0.650231689
EPOK47KZ99XTJJH4B3,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.649887998817324,0,0,0,0.125,0.875,1,0,0.5,37,0,1. Metropolitan zone,0.272727272727273,0,Portugal,NA,1,2,3,2,1,8,0.862253984
EPOK44YZR2SMHFT4B7,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.918538511697978,1,0,0.75,1,1,1,0,0.3,57,0,1. Metropolitan zone,0.181818181818182,0,Portugal,NA,1,1,1,1,2,8,0.399641636
